__time,/plotjuggler/logging/ax,/plotjuggler/logging/ay,/plotjuggler/logging/az,/plotjuggler/logging/comp_time,/plotjuggler/logging/controller,/plotjuggler/logging/lookahead_time,/plotjuggler/logging/p,/plotjuggler/logging/pitch,/plotjuggler/logging/platform,/plotjuggler/logging/q,/plotjuggler/logging/r,/plotjuggler/logging/roll,/plotjuggler/logging/timestamp,/plotjuggler/logging/timestamp_sample,/plotjuggler/logging/traj_double,/plotjuggler/logging/traj_spin,/plotjuggler/logging/traj_time,/plotjuggler/logging/trajectory,/plotjuggler/logging/u_p,/plotjuggler/logging/u_q,/plotjuggler/logging/u_r,/plotjuggler/logging/u_throttle,/plotjuggler/logging/vx,/plotjuggler/logging/vx_ref,/plotjuggler/logging/vy,/plotjuggler/logging/vy_ref,/plotjuggler/logging/vz,/plotjuggler/logging/vz_ref,/plotjuggler/logging/x,/plotjuggler/logging/x_ref,/plotjuggler/logging/y,/plotjuggler/logging/y_ref,/plotjuggler/logging/yaw,/plotjuggler/logging/yaw_ref,/plotjuggler/logging/yawd_ref,/plotjuggler/logging/z,/plotjuggler/logging/z_ref
1759720935.609258,-0.025847508,-0.035723593,-0.343842417,0.000474691,1.000000000,1.200000048,-0.001833914,0.005745450,0.000000000,-0.017462775,0.003200702,-0.001619107,1759720935608650.000000000,0.000000000,1.000000000,1.000000000,0.080107212,1.000000000,-0.239294842,-0.121312670,0.357644379,0.762273371,0.049022540,-0.548051655,0.027844395,0.189798698,0.113952942,0.000000000,0.945561647,0.196348101,0.977634549,0.566963315,-0.003054859,0.402157545,0.314159274,-4.074671268,-5.000000000
1759720935.709343,0.051169600,-0.089057863,-0.687023580,0.000449657,1.000000000,1.200000048,-0.072293885,-0.000504436,0.000000000,0.020488171,0.069498643,-0.006476691,1759720935708715.000000000,0.000000000,1.000000000,1.000000000,0.180135012,1.000000000,-0.102238521,0.088021711,0.381722897,0.752445877,0.051051151,-0.563814998,0.020631788,0.136002883,0.055553582,0.000000000,0.950667083,0.140695944,0.979658782,0.583270669,-0.000451987,0.433582187,0.314159274,-4.079531670,-5.000000000
1759720935.810653,-0.014922672,-0.160348892,-0.472936749,0.000319958,1.000000000,1.200000048,-0.074325070,0.005837793,0.000000000,0.104168028,0.156016111,-0.014023036,1759720935809568.000000000,0.000000000,1.000000000,1.000000000,0.280105114,1.000000000,-0.066938624,0.156099603,0.393366635,0.746966124,0.052714042,-0.574306726,0.005310573,0.080968566,-0.002472165,0.000000000,0.956085861,0.083762564,0.978742659,0.594124436,0.010153759,0.464988738,0.314159274,-4.097302437,-5.000000000
1759720935.911533,-0.154401526,-0.224148661,-0.363877028,0.000387669,1.000000000,1.200000048,-0.048576705,0.021080654,0.000000000,0.178680584,0.227512807,-0.020311551,1759720935910448.000000000,0.000000000,1.000000000,1.000000000,0.380195856,1.000000000,-0.031588551,0.217668012,0.396746308,0.743910134,0.045504004,-0.579442501,-0.018542357,0.025111154,-0.050263878,0.000000000,0.964273632,0.025977667,0.973796308,0.599437356,0.029564844,0.496433169,0.314159274,-4.122047901,-5.000000000
1759720936.010931,-0.364158332,-0.266484410,-0.280589789,0.000398874,1.000000000,1.200000048,-0.020217823,0.043811254,0.000000000,0.243438452,0.279465497,-0.023068668,1759720936009794.000000000,0.000000000,1.000000000,1.000000000,0.480220556,1.000000000,-0.002743420,0.243579492,0.397241801,0.741066515,0.019370450,-0.579160273,-0.047927771,-0.030944167,-0.088843234,0.000000000,0.971060872,-0.032011960,0.964778006,0.599145412,0.055145558,0.527856827,0.314159274,-4.150855064,-5.000000000
1759720936.108862,-0.599059641,-0.286084384,-0.195886925,0.000295877,1.000000000,1.200000048,0.002131906,0.068502776,0.000000000,0.242349148,0.314696521,-0.022478072,1759720936108233.000000000,0.000000000,1.000000000,1.000000000,0.580117941,1.000000000,0.016117986,0.194652885,0.399309456,0.737995327,-0.025600469,-0.573478580,-0.078937389,-0.086639851,-0.115259901,0.000000000,0.977711439,-0.089629546,0.951237798,0.593267679,0.082970329,0.559240520,0.314159274,-4.174942017,-5.000000000
1759720936.209322,-0.812070429,-0.286473513,-0.118023708,0.000344276,1.000000000,1.200000048,0.023266785,0.091507003,0.000000000,0.184644237,0.342405796,-0.018418835,1759720936208684.000000000,0.000000000,1.000000000,1.000000000,0.680237293,1.000000000,0.026842700,0.132272512,0.400163412,0.735153854,-0.096854068,-0.562423110,-0.114212632,-0.141648933,-0.134598896,0.000000000,0.980071902,-0.146536842,0.932111800,0.581830680,0.117449433,0.590693951,0.314159274,-4.201334476,-5.000000000
1759720936.308960,-0.941188931,-0.273496836,-0.048001293,0.000365734,1.000000000,1.200000048,0.033035140,0.106286503,0.000000000,0.117524467,0.361106515,-0.012358927,1759720936308359.000000000,0.000000000,1.000000000,1.000000000,0.780108690,1.000000000,0.029753137,0.074743822,0.399302632,0.732661784,-0.178572610,-0.546150684,-0.146141931,-0.195201442,-0.144884259,0.000000000,0.975218773,-0.201937273,0.911202013,0.564996779,0.153005347,0.622069478,0.314159274,-4.226132870,-5.000000000
1759720936.409397,-1.012625337,-0.251923352,0.011943280,0.000510931,1.000000000,1.200000048,0.035951491,0.114784449,0.000000000,0.058392912,0.374410301,-0.005187531,1759720936408638.000000000,0.000000000,1.000000000,1.000000000,0.880116940,1.000000000,0.028256925,0.027495896,0.396547794,0.730642378,-0.269261837,-0.524759412,-0.176923722,-0.247005492,-0.148722157,0.000000000,0.965959668,-0.255528927,0.886037529,0.542867362,0.190830246,0.653487980,0.314159274,-4.250083923,-5.000000000
1759720936.511369,-1.033956051,-0.220966026,0.057858411,0.000496387,1.000000000,1.200000048,0.031342987,0.117957175,0.000000000,0.006624419,0.383752525,0.002779450,1759720936510242.000000000,0.000000000,1.000000000,1.000000000,0.980226040,1.000000000,0.023924207,-0.013852203,0.390172333,0.728837252,-0.372123510,-0.498438895,-0.209158674,-0.296551526,-0.147432581,0.000000000,0.946810603,-0.306784689,0.853781044,0.515638590,0.233788058,0.684938192,0.314159274,-4.276504993,-5.000000000
