__time,/plotjuggler/logging/ax,/plotjuggler/logging/ay,/plotjuggler/logging/az,/plotjuggler/logging/comp_time,/plotjuggler/logging/controller,/plotjuggler/logging/lookahead_time,/plotjuggler/logging/p,/plotjuggler/logging/pitch,/plotjuggler/logging/platform,/plotjuggler/logging/q,/plotjuggler/logging/r,/plotjuggler/logging/roll,/plotjuggler/logging/timestamp,/plotjuggler/logging/timestamp_sample,/plotjuggler/logging/traj_double,/plotjuggler/logging/traj_spin,/plotjuggler/logging/traj_time,/plotjuggler/logging/trajectory,/plotjuggler/logging/u_p,/plotjuggler/logging/u_q,/plotjuggler/logging/u_r,/plotjuggler/logging/u_throttle,/plotjuggler/logging/vx,/plotjuggler/logging/vx_ref,/plotjuggler/logging/vy,/plotjuggler/logging/vy_ref,/plotjuggler/logging/vz,/plotjuggler/logging/vz_ref,/plotjuggler/logging/x,/plotjuggler/logging/x_ref,/plotjuggler/logging/y,/plotjuggler/logging/y_ref,/plotjuggler/logging/yaw,/plotjuggler/logging/yaw_ref,/plotjuggler/logging/yawd_ref,/plotjuggler/logging/z,/plotjuggler/logging/z_ref
1759720776.309258,0.387179226,-0.040721152,-0.008585862,0.000930071,1.000000000,1.200000048,0.055251192,-0.005507642,0.000000000,-0.014494737,0.289009511,-0.048610065,1759720776308569.000000000,0.000000000,1.000000000,1.000000000,3.700003386,1.000000000,0.046060089,-0.025970684,0.291786730,0.727513194,0.111291364,0.579816937,-0.421003431,0.014016540,-0.043415625,0.000000000,-0.345027834,0.014500210,-0.129552752,-0.599824786,1.203387499,1.539381504,0.314159274,-4.400929451,-5.000000000
1759720776.409251,0.342476815,-0.008449795,-0.009202397,0.000885963,1.000000000,1.200000048,0.056729142,-0.006399841,0.000000000,-0.027185742,0.290158331,-0.043546651,1759720776408553.000000000,0.000000000,1.000000000,1.000000000,3.800015450,1.000000000,0.045282140,-0.035901379,0.294936985,0.727639794,0.156465441,0.575756550,-0.423346311,0.069918223,-0.042891949,0.000000000,-0.316214800,0.072330907,-0.170926258,-0.595624268,1.231081843,1.570801139,0.314159274,-4.399266243,-5.000000000
1759720776.510329,0.297909051,0.041689601,-0.014855525,0.000886917,1.000000000,1.200000048,0.056520224,-0.008700558,0.000000000,-0.036029045,0.291952640,-0.037988845,1759720776508874.000000000,0.000000000,1.000000000,1.000000000,3.900001526,1.000000000,0.044329483,-0.042146113,0.295156986,0.727749288,0.200017542,0.566322327,-0.420252889,0.125152722,-0.042847078,0.000000000,-0.281002879,0.129471377,-0.214925200,-0.585864484,1.262553811,1.602212787,0.314159274,-4.396865845,-5.000000000
1759720776.610148,0.251627624,0.089743964,-0.011454335,0.000596523,1.000000000,1.200000048,0.054437302,-0.011639910,0.000000000,-0.042703424,0.293090016,-0.033036713,1759720776608604.000000000,0.000000000,1.000000000,1.000000000,3.999995232,1.000000000,0.041652858,-0.046741106,0.296220511,0.727723777,0.235807225,0.551600635,-0.412175894,0.179223090,-0.043231815,0.000000000,-0.244108349,0.185407564,-0.254256696,-0.570634782,1.292638779,1.633626699,0.314159274,-4.396417618,-5.000000000
1759720776.711341,0.206001326,0.145963684,-0.017388722,0.000637054,1.000000000,1.200000048,0.051996365,-0.015497383,0.000000000,-0.045741957,0.294324636,-0.028089980,1759720776710002.000000000,0.000000000,1.000000000,1.000000000,4.099983215,1.000000000,0.039001130,-0.050933119,0.295505732,0.727829635,0.268211693,0.531730771,-0.399385154,0.231617257,-0.043806829,0.000000000,-0.203738093,0.239609703,-0.297341883,-0.550079286,1.324494004,1.665038705,0.314159274,-4.395492554,-5.000000000
1759720776.809362,0.174506202,0.201111034,-0.022268852,0.000836611,1.000000000,1.200000048,0.048229184,-0.019491956,0.000000000,-0.047951575,0.294855297,-0.023883998,1759720776808598.000000000,0.000000000,1.000000000,1.000000000,4.199976921,1.000000000,0.036693364,-0.048983175,0.296134889,0.728150547,0.295166075,0.506895781,-0.378241330,0.281852424,-0.043485399,0.000000000,-0.159507051,0.291578352,-0.329858810,-0.524387300,1.355170727,1.696452737,0.314159274,-4.390672684,-5.000000000
1759720776.911255,0.142498434,0.249032184,-0.032347623,0.000910759,1.000000000,1.200000048,0.043607548,-0.023660334,0.000000000,-0.047188312,0.295278698,-0.020199064,1759720776910546.000000000,0.000000000,1.000000000,1.000000000,4.300160408,1.000000000,0.034144219,-0.045524482,0.296146095,0.728755057,0.318595260,0.477268368,-0.350606710,0.329543680,-0.042971250,0.000000000,-0.115710095,0.340915293,-0.358948529,-0.493737549,1.386744142,1.727926254,0.314159274,-4.381263733,-5.000000000
1759720777.012045,0.103589572,0.301524878,-0.044479962,0.000861645,1.000000000,1.200000048,0.039395601,-0.027909825,0.000000000,-0.041851655,0.295392126,-0.016705589,1759720777010890.000000000,0.000000000,1.000000000,1.000000000,4.400178909,1.000000000,0.032243591,-0.040656347,0.293463707,0.729910135,0.339300990,0.443228066,-0.315686375,0.374076217,-0.043049447,0.000000000,-0.068309002,0.386984527,-0.388168365,-0.458522588,1.421677709,1.759348035,0.314159274,-4.367329597,-5.000000000
1759720777.110350,0.070001155,0.345519662,-0.051897015,0.000593424,1.000000000,1.200000048,0.034842055,-0.031775899,0.000000000,-0.040081348,0.295255601,-0.013862331,1759720777108738.000000000,0.000000000,1.000000000,1.000000000,4.499994278,1.000000000,0.031569704,-0.038565196,0.292408288,0.730906963,0.355663747,0.405129433,-0.278256655,0.415035278,-0.044589005,0.000000000,-0.019874705,0.429356962,-0.416396111,-0.419109285,1.455019474,1.790705919,0.314159274,-4.351634979,-5.000000000
1759720777.211862,0.037930060,0.384060889,-0.068479210,0.000856638,1.000000000,1.200000048,0.034350250,-0.035305262,0.000000000,-0.035555840,0.294700265,-0.011586089,1759720777211057.000000000,0.000000000,1.000000000,1.000000000,4.599982262,1.000000000,0.031327941,-0.034232199,0.291561604,0.731094182,0.368211389,0.363186508,-0.237071544,0.452194333,-0.048115056,0.000000000,0.026753375,0.467798263,-0.438052297,-0.375719041,1.486788988,1.822118282,0.314159274,-4.340936661,-5.000000000
