__time,/plotjuggler/logging/ax,/plotjuggler/logging/ay,/plotjuggler/logging/az,/plotjuggler/logging/comp_time,/plotjuggler/logging/controller,/plotjuggler/logging/lookahead_time,/plotjuggler/logging/p,/plotjuggler/logging/pitch,/plotjuggler/logging/platform,/plotjuggler/logging/q,/plotjuggler/logging/r,/plotjuggler/logging/roll,/plotjuggler/logging/timestamp,/plotjuggler/logging/timestamp_sample,/plotjuggler/logging/traj_double,/plotjuggler/logging/traj_spin,/plotjuggler/logging/traj_time,/plotjuggler/logging/trajectory,/plotjuggler/logging/u_p,/plotjuggler/logging/u_q,/plotjuggler/logging/u_r,/plotjuggler/logging/u_throttle,/plotjuggler/logging/vx,/plotjuggler/logging/vx_ref,/plotjuggler/logging/vy,/plotjuggler/logging/vy_ref,/plotjuggler/logging/vz,/plotjuggler/logging/vz_ref,/plotjuggler/logging/x,/plotjuggler/logging/x_ref,/plotjuggler/logging/y,/plotjuggler/logging/y_ref,/plotjuggler/logging/yaw,/plotjuggler/logging/yaw_ref,/plotjuggler/logging/yawd_ref,/plotjuggler/logging/z,/plotjuggler/logging/z_ref
1759716078.161623,-1.003778219,-0.165813312,-0.038353723,0.000272989,0.000000000,1.200000048,-0.051067695,0.117181838,0.000000000,-0.021202270,0.407593846,0.001424467,1759716078160446.000000000,0.000000000,1.000000000,1.000000000,1.110198736,1.000000000,-0.073351219,-0.030310145,0.434485435,0.730086684,-0.542381287,-0.457350224,-0.122325636,-0.356672019,-0.378625721,0.000000000,0.884949625,-0.368979752,0.941848636,0.473132044,0.227679402,0.725770354,0.314159274,-4.028768539,-5.000000000
1759716078.261624,-0.945907712,-0.200183839,-0.000377186,0.000318766,0.000000000,1.200000048,-0.064274371,0.113684699,0.000000000,-0.055253677,0.416257977,0.000522616,1759716078260853.000000000,0.000000000,1.000000000,1.000000000,1.210226059,1.000000000,-0.081426121,-0.060418099,0.427240670,0.728150368,-0.629074514,-0.420780778,-0.136903092,-0.399158716,-0.378380209,0.000000000,0.831982493,-0.412932545,0.936637580,0.435300708,0.264546335,0.757194877,0.314159274,-4.053811550,-5.000000000
1759716078.361616,-0.852382481,-0.240504235,0.031707805,0.000333309,0.000000000,1.200000048,-0.075447172,0.106939919,0.000000000,-0.085222475,0.420812458,-0.001808236,1759716078360651.000000000,0.000000000,1.000000000,1.000000000,1.310071230,1.000000000,-0.086108893,-0.086730748,0.416664988,0.726394176,-0.718135893,-0.380357593,-0.159332126,-0.437849581,-0.375283867,0.000000000,0.762913406,-0.452958524,0.924943805,0.393482625,0.307305336,0.788562119,0.314159274,-4.081278801,-5.000000000
1759716078.459407,-0.715627134,-0.281442046,0.058921982,0.000248909,0.000000000,1.200000048,-0.084403105,0.096736833,0.000000000,-0.114421621,0.420842767,-0.005745342,1759716078458885.000000000,0.000000000,1.000000000,1.000000000,1.410077333,1.000000000,-0.086709917,-0.109790802,0.402325898,0.724846900,-0.803602576,-0.336320549,-0.189707771,-0.472517341,-0.368815452,0.000000000,0.677687168,-0.488822550,0.905170262,0.347926021,0.354972541,0.819979966,0.314159274,-4.110613823,-5.000000000
1759716078.564077,-0.557664990,-0.313221097,0.088066787,0.000344753,0.000000000,1.200000048,-0.086100146,0.084182881,0.000000000,-0.134438202,0.417001873,-0.010782204,1759716078562625.000000000,0.000000000,1.000000000,1.000000000,1.510720253,1.000000000,-0.084724940,-0.126002744,0.388638139,0.723637283,-0.873770118,-0.288833469,-0.225053355,-0.502950668,-0.359493315,0.000000000,0.583894014,-0.520306051,0.879077494,0.298800290,0.402444303,0.851597905,0.314159274,-4.139663219,-5.000000000
1759716078.658928,-0.398023337,-0.331441253,0.103135586,0.000254154,0.000000000,1.200000048,-0.085331224,0.071250916,0.000000000,-0.147625357,0.410333186,-0.016022790,1759716078658441.000000000,0.000000000,1.000000000,1.000000000,1.610065699,1.000000000,-0.081321754,-0.135302410,0.375117630,0.722646296,-0.922399998,-0.239277691,-0.260470450,-0.528327882,-0.348878920,0.000000000,0.492163122,-0.546558976,0.851469636,0.247534484,0.445897162,0.882808149,0.314159274,-4.167568684,-5.000000000
1759716078.761127,-0.220420241,-0.332150906,0.115346156,0.000277042,0.000000000,1.200000048,-0.083518632,0.056354273,0.000000000,-0.155413866,0.400484622,-0.022058073,1759716078760004.000000000,0.000000000,1.000000000,1.000000000,1.710144281,1.000000000,-0.079228804,-0.139190599,0.363349468,0.721941829,-0.959339917,-0.187127963,-0.298269302,-0.548969269,-0.335898250,0.000000000,0.384985417,-0.567912638,0.818589985,0.193585202,0.490650326,0.914248765,0.314159274,-4.194815159,-5.000000000
1759716078.858868,-0.073014490,-0.320604056,0.129988402,0.000262022,0.000000000,1.200000048,-0.082094401,0.043556500,0.000000000,-0.156034723,0.392126292,-0.027512297,1759716078858402.000000000,0.000000000,1.000000000,1.000000000,1.810040474,1.000000000,-0.078874677,-0.135655358,0.355275631,0.721481323,-0.975539088,-0.133327842,-0.326906353,-0.564453602,-0.323613495,0.000000000,0.293776751,-0.583931267,0.792139113,0.137928605,0.525958359,0.945632100,0.314159274,-4.216854095,-5.000000000
1759716078.958800,0.111013018,-0.304562509,0.135215923,0.000254631,0.000000000,1.200000048,-0.081377305,0.027879467,0.000000000,-0.146189958,0.381328791,-0.035103090,1759716078958306.000000000,0.000000000,1.000000000,1.000000000,1.910028696,1.000000000,-0.076089956,-0.126761630,0.348932385,0.721158743,-0.975566983,-0.078234330,-0.362301975,-0.574685574,-0.307073087,0.000000000,0.180908129,-0.594516337,0.754023015,0.080933973,0.568393588,0.977044344,0.314159274,-4.245333195,-5.000000000
1759716079.058730,0.241625115,-0.288421005,0.141627148,0.000226021,0.000000000,1.200000048,-0.078651354,0.016768910,0.000000000,-0.135790959,0.373915851,-0.041383725,1759716079058232.000000000,0.000000000,1.000000000,1.000000000,2.010044098,1.000000000,-0.069328517,-0.115375385,0.344676793,0.720893919,-0.960329175,-0.022395318,-0.389897436,-0.579553783,-0.293308049,0.000000000,0.095472746,-0.599552512,0.719409525,0.023168117,0.601339400,1.008465052,0.314159274,-4.266162872,-5.000000000
