__time,/plotjuggler/logging/ax,/plotjuggler/logging/ay,/plotjuggler/logging/az,/plotjuggler/logging/comp_time,/plotjuggler/logging/controller,/plotjuggler/logging/lookahead_time,/plotjuggler/logging/p,/plotjuggler/logging/pitch,/plotjuggler/logging/platform,/plotjuggler/logging/q,/plotjuggler/logging/r,/plotjuggler/logging/roll,/plotjuggler/logging/timestamp,/plotjuggler/logging/timestamp_sample,/plotjuggler/logging/traj_double,/plotjuggler/logging/traj_spin,/plotjuggler/logging/traj_time,/plotjuggler/logging/trajectory,/plotjuggler/logging/u_p,/plotjuggler/logging/u_q,/plotjuggler/logging/u_r,/plotjuggler/logging/u_throttle,/plotjuggler/logging/vx,/plotjuggler/logging/vx_ref,/plotjuggler/logging/vy,/plotjuggler/logging/vy_ref,/plotjuggler/logging/vz,/plotjuggler/logging/vz_ref,/plotjuggler/logging/x,/plotjuggler/logging/x_ref,/plotjuggler/logging/y,/plotjuggler/logging/y_ref,/plotjuggler/logging/yaw,/plotjuggler/logging/yaw_ref,/plotjuggler/logging/yawd_ref,/plotjuggler/logging/z,/plotjuggler/logging/z_ref
1759716174.641247,0.051981393,0.010841798,-0.152794629,0.000895739,0.000000000,1.200000048,-0.008640903,-0.007295626,0.000000000,0.059326895,-0.001961388,0.002900328,1759716174637638.000000000,0.000000000,1.000000000,1.000000000,0.220422983,1.000000000,-0.083726488,0.303192675,0.386234164,0.754869878,-0.034737065,-0.568682671,0.004492034,0.113948025,-0.171786532,0.000000000,0.952287436,0.117880046,0.892475605,0.588306308,-0.006692254,0.446239054,0.314159274,-3.795795441,-5.000000000
1759716174.744938,-0.070414998,-0.020052209,-0.378386080,0.000915527,0.000000000,1.200000048,-0.044651184,0.004781100,0.000000000,0.100567102,0.050304797,-0.000481873,1759716174741293.000000000,0.000000000,1.000000000,1.000000000,0.323725224,1.000000000,-0.072324455,0.295531452,0.414702207,0.753576875,-0.035587683,-0.577209353,0.005589999,0.056688067,-0.189565092,0.000000000,0.949836254,0.058644209,0.895433068,0.597127199,-0.004251413,0.478692383,0.314159274,-3.814191818,-5.000000000
1759716174.849113,-0.308920413,-0.064684317,-0.616249561,0.002135992,0.000000000,1.200000048,-0.029964447,0.028389798,0.000000000,0.294816643,0.148033887,-0.004536373,1759716174845536.000000000,0.000000000,1.000000000,1.000000000,0.425076962,1.000000000,-0.062510520,0.248622268,0.433082014,0.749012351,-0.052782267,-0.579986334,0.002498573,-0.000043148,-0.249741122,0.000000000,0.944129586,-0.000044637,0.898172557,0.600000024,0.005452667,0.510532975,0.314159274,-3.830520391,-5.000000000
1759716174.931707,-0.576622546,-0.092266925,-0.488284022,0.000812531,0.000000000,1.200000048,-0.025002411,0.055022802,0.000000000,0.253149271,0.227143109,-0.006399760,1759716174930490.000000000,0.000000000,1.000000000,1.000000000,0.519014120,1.000000000,-0.056408521,0.183483586,0.444238454,0.744595051,-0.094274305,-0.577592969,-0.006436820,-0.052635577,-0.300648183,0.000000000,0.939050376,-0.054451883,0.894061983,0.597524047,0.022642436,0.540044188,0.314159274,-3.850371838,-5.000000000
1759716175.043312,-0.756502569,-0.126738727,-0.363373190,0.000954151,0.000000000,1.200000048,-0.028846219,0.073894233,0.000000000,0.179568544,0.283866614,-0.007355234,1759716175041863.000000000,0.000000000,1.000000000,1.000000000,0.622940540,1.000000000,-0.053393032,0.133177489,0.454365581,0.741269708,-0.151284143,-0.569401979,-0.015405411,-0.110297546,-0.335166395,0.000000000,0.931552529,-0.114103600,0.894165456,0.589050412,0.044117182,0.572693646,0.314159274,-3.869776249,-5.000000000
1759716175.153839,-0.896329880,-0.166362673,-0.264016896,0.001423836,0.000000000,1.200000048,-0.033254854,0.090255044,0.000000000,0.112601064,0.338013619,-0.007928904,1759716175150312.000000000,0.000000000,1.000000000,1.000000000,0.731502056,1.000000000,-0.048610825,0.072483219,0.455508918,0.737318158,-0.242676139,-0.554716170,-0.031306192,-0.169334397,-0.367469609,0.000000000,0.913870215,-0.175177634,0.889998496,0.573857844,0.078351103,0.606799245,0.314159274,-3.898614645,-5.000000000
1759716175.250151,-0.968546987,-0.205575570,-0.188129008,0.001992464,0.000000000,1.200000048,-0.036056839,0.098784693,0.000000000,0.062623724,0.371943772,-0.007955992,1759716175247026.000000000,0.000000000,1.000000000,1.000000000,0.827172756,1.000000000,-0.045599084,0.026910648,0.453026772,0.734024644,-0.331297398,-0.536708117,-0.048493423,-0.219837576,-0.387271732,0.000000000,0.889273822,-0.227423549,0.884766877,0.555228353,0.112570569,0.636855125,0.314159274,-3.930208683,-5.000000000
1759716175.336043,-0.979422629,-0.241089597,-0.103624530,0.000989437,0.000000000,1.200000048,-0.036806505,0.102458201,0.000000000,0.017594909,0.394928724,-0.007705390,1759716175334646.000000000,0.000000000,1.000000000,1.000000000,0.920993090,1.000000000,-0.044542242,-0.008005749,0.449686617,0.731126606,-0.416138530,-0.514592528,-0.066943102,-0.267541945,-0.399279952,0.000000000,0.858197927,-0.276774049,0.879580259,0.532349646,0.146563843,0.666329622,0.314159274,-3.964300156,-5.000000000
1759716175.442481,-0.940441489,-0.276100457,-0.023663973,0.000988960,0.000000000,1.200000048,-0.040092755,0.101681590,0.000000000,-0.032088131,0.412646145,-0.007273011,1759716175441203.000000000,0.000000000,1.000000000,1.000000000,1.028009892,1.000000000,-0.047212012,-0.041504491,0.442947686,0.727999747,-0.516308308,-0.484214455,-0.090577222,-0.319249928,-0.405538946,0.000000000,0.810564995,-0.330266327,0.874954820,0.500923276,0.188355520,0.699949980,0.314159274,-4.008332253,-5.000000000
1759716175.542403,-0.854135454,-0.305849940,0.038551163,0.000972271,0.000000000,1.200000048,-0.046245262,0.096259810,0.000000000,-0.067368142,0.423575342,-0.007334652,1759716175540972.000000000,0.000000000,1.000000000,1.000000000,1.127783060,1.000000000,-0.052053176,-0.071605973,0.430889547,0.725188136,-0.617675185,-0.451221794,-0.117823884,-0.364394069,-0.404032528,0.000000000,0.747459233,-0.376968265,0.870713770,0.466792166,0.233949751,0.731294632,0.314159274,-4.055080414,-5.000000000
